interpro_id,keywords
IPR000040,"acute,myeloid,leukemia,aml1runt,acute myeloid,myeloid leukemia,leukemia 1,1 protein,protein aml1runt,atp binding,templated,of dna,dna templated,templated transcription,nucleus,nucleotide binding,of rna,of biosynthetic,adenyl,ribonucleotide,adenyl ribonucleotide,ribonucleotide binding,purine,purine nucleotide,nucleotide binding,ribonucleotide,ribonucleotide binding,anion binding,purine,ribonucleotide,purine ribonucleotide,ribonucleotide binding,rna biosynthetic,of metabolic,templated,of dna,dna templated,templated transcription,of gene,of macromolecule,nucleus,of rna,rna biosynthetic,phosphate binding,templated,dna templated,templated transcription,of primary,purine,ribonucleoside,triphosphate,purine ribonucleoside,ribonucleoside triphosphate,triphosphate binding,adenyl,adenyl nucleotide,nucleotide binding,heterocyclic,heterocyclic compound,of macromolecule,atp binding,of nucleobase,of nitrogen,molecule binding,derivative binding"
IPR000043,"adenosylhomocysteinase,adenosylhomocysteinase like"
IPR000047,"helix,turn,helix,motif,helix turn,turn helix,helix motif"
IPR000048,"iq,motif,iq motif,ef,hand,site,ef hand,hand binding,binding site,protein binding,protein binding"
IPR000049,"electron,transfer,flavoprotein,electron transfer,transfer flavoprotein,beta,beta subunit,conserved,site,conserved site,electron,transfer,electron transfer,transfer activity,electron,transfer,electron transfer,transfer activity"
IPR000053,"thymidinepyrimidine,phosphorylase,thymidinepyrimidine nucleoside,nucleoside phosphorylase,14,alpha,oligoglucan,phosphorylase,14 alpha,alpha oligoglucan,oligoglucan phosphorylase,phosphorylase activity,pyrimidine,pyrimidine nucleobase,nucleobase metabolic,glycosyltransferase,glycosyltransferase activity,pyrimidine,pyrimidine nucleobase,nucleobase metabolic,containing small,hexosyltransferase,hexosyltransferase activity,pyrimidine,pyrimidine containing,nucleobase metabolic,14,alpha,oligoglucan,phosphorylase,14 alpha,alpha oligoglucan,oligoglucan phosphorylase,phosphorylase activity"
IPR000054,"large,ribosomal,el31,large ribosomal,ribosomal subunit,subunit protein,protein el31,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,ribosome,structural,structural molecule,molecule activity,peptide,peptide metabolic,peptide,peptide biosynthetic,non,intracellular non,non membrane,amide,amide biosynthetic,structural,constituent,ribosome,structural constituent,constituent of,of ribosome,translation,amide,amide metabolic,non,non membrane,ribosome"
IPR000055,"restriction,modification,specificity,type i,i restriction,restriction modification,modification dna,dna specificity,specificity domain"
IPR000056,"ribulose,epimerase,ribulose phosphate,phosphate 3,3 epimerase,epimerase like,racemase,and,epimerase,racemase and,and epimerase,epimerase activity,carbohydrates,and,derivatives,on carbohydrates,carbohydrates and,and derivatives,carbohydrate metabolic,isomerase,isomerase activity,racemase,and,epimerase,racemase and,and epimerase,epimerase activity,carbohydrates,and,derivatives,on carbohydrates,carbohydrates and,and derivatives,racemase,and,epimerase,racemase and,and epimerase,epimerase activity,carbohydrate metabolic"
IPR000057,"cxc,chemokine,cxc chemokine,chemokine receptor,receptor 2,chemokine,c x,x c,c chemokine,chemokine receptor,receptor activity,interleukin,interleukin 8,8 binding,chemotaxis,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,interleukin,interleukin 8,8 binding,locomotion,immune,immune receptor,receptor activity,chemokine,chemokine receptor,receptor activity,communication,cell communication,taxis,signal,transduction,signal transduction,chemical,to chemical,transmembrane signaling,signaling receptor,receptor activity,coupled,chemoattractant,g protein,protein coupled,coupled chemoattractant,chemoattractant receptor,receptor activity,cytokine,cytokine binding,cytokine,cytokine receptor,receptor activity,chemokine,c x,x c,c chemokine,chemokine binding,chemokine,c x,x c,c chemokine,chemokine receptor,receptor activity,chemokine,chemokine binding,transducer,molecular transducer,transducer activity,signaling receptor,receptor activity,protein binding,coupled,pathway,g protein,protein coupled,coupled receptor,receptor signaling,signaling pathway,coupled,g protein,protein coupled,coupled receptor,receptor activity,external,to external,external stimulus,chemotaxis"
IPR000058,"zinc,finger,zinc finger,an1,an1 type,zinc,zinc ion,cation binding,transition,transition metal,zinc,zinc ion"
IPR000059,"nudix,nudix hydrolase,nudl,conserved,site,conserved site,magnesium,magnesium ion,anhydrides,on acid,acid anhydrides,anhydrides,in phosphorus,containing anhydrides,manganese,manganese ion,diphosphate,nucleoside diphosphate,diphosphate metabolic,cation binding,organophosphate,organophosphate metabolic,containing small,phosphorus metabolic,anhydrides,on acid,acid anhydrides,anhydrides,in phosphorus,containing anhydrides,phosphate metabolic,magnesium,magnesium ion,manganese,manganese ion,transition,transition metal,anhydrides,on acid,acid anhydrides,diphosphate,nucleoside diphosphate,diphosphate metabolic,phosphate containing"
IPR000060,"bcct,bcct transporter,transporter family,transmembrane transporter,transporter activity,compound transport,transmembrane transporter,transporter activity,transporter activity,compound transport"
IPR000061,"swapsurp,rna binding,processing,rna processing,processing,rna processing,rna binding"
IPR000064,"endopeptidase,nlpcp60,nlpcp60 domain"
